yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
196811,108.37 ,3.05670 ,5.72670 ,0.48372 ,0.05450 ,0.06190 ,0.07010 ,0.05660 ,0.02119 ,0.00420 ,0.00283 ,-0.02690 ,-0.02260 ,0.00026 ,0.00246 ,0.05358 ,0.04866 ,1,1,1,1,1,1,1,1,1,1,1,1
196812,103.86 ,3.07000 ,5.76000 ,0.50490 ,0.05960 ,0.06450 ,0.07230 ,0.05980 ,0.03196 ,0.00430 ,0.00282 ,-0.03630 ,-0.02330 ,0.00033 ,0.00235 ,-0.04083 ,-0.04214 ,1,1,1,1,1,1,0,1,1,1,1,1
196901,103.01 ,3.08000 ,5.78000 ,0.50367 ,0.06140 ,0.06590 ,0.07320 ,0.06170 ,0.03652 ,0.00530 ,0.00282 ,-0.02060 ,0.01390 ,0.00061 ,0.00220 ,-0.00755 ,-0.00861 ,1,1,1,1,1,1,0,0,0,1,1,1
196902,98.13 ,3.09000 ,5.80000 ,0.52640 ,0.06120 ,0.06660 ,0.07300 ,0.06180 ,0.04132 ,0.00460 ,0.00562 ,0.00420 ,-0.01600 ,0.00060 ,0.00234 ,-0.04232 ,-0.04738 ,0,0,0,1,0,1,0,0,0,0,0,1
196903,101.51 ,3.10000 ,5.82000 ,0.55704 ,0.06020 ,0.06850 ,0.07510 ,0.06200 ,0.03951 ,0.00460 ,0.00838 ,0.00100 ,-0.02000 ,0.00054 ,0.00230 ,0.03485 ,0.03360 ,0,1,0,0,0,0,1,0,0,0,1,1
196904,103.69 ,3.11000 ,5.82670 ,0.54842 ,0.06110 ,0.06890 ,0.07540 ,0.05930 ,0.04429 ,0.00530 ,0.00554 ,0.04270 ,0.03350 ,0.00055 ,0.00188 ,0.02277 ,0.02145 ,1,1,0,1,0,0,1,1,1,1,1,1
196905,103.46 ,3.12000 ,5.83330 ,0.55580 ,0.06040 ,0.06790 ,0.07520 ,0.06350 ,0.04401 ,0.00480 ,0.00275 ,-0.04900 ,-0.02270 ,0.00043 ,0.00158 ,0.00385 ,-0.00186 ,1,1,1,1,0,1,0,1,1,0,1,1
196906,97.71 ,3.13000 ,5.84000 ,0.59678 ,0.06440 ,0.06980 ,0.07700 ,0.06230 ,0.04515 ,0.00510 ,0.00549 ,0.02140 ,0.00350 ,0.00075 ,0.00119 ,-0.05436 ,-0.05569 ,0,0,0,0,0,0,0,0,0,0,0,0
196907,91.83 ,3.13670 ,5.85670 ,0.63902 ,0.07000 ,0.07080 ,0.07840 ,0.06210 ,0.05116 ,0.00530 ,0.00546 ,0.00790 ,0.00050 ,0.00231 ,0.00156 ,-0.05863 ,-0.05992 ,0,0,0,0,0,0,0,0,0,0,0,0
196908,95.51 ,3.14330 ,5.87330 ,0.62279 ,0.06980 ,0.06970 ,0.07860 ,0.06300 ,0.04691 ,0.00500 ,0.00543 ,-0.00690 ,-0.00200 ,0.00092 ,0.00148 ,0.04573 ,0.04018 ,0,0,0,0,0,0,1,0,0,0,0,0
196909,93.12 ,3.15000 ,5.89000 ,0.64089 ,0.07090 ,0.07140 ,0.08050 ,0.06770 ,0.04839 ,0.00620 ,0.00270 ,-0.05310 ,-0.02440 ,0.00089 ,0.00217 ,-0.02394 ,-0.02529 ,0,0,0,0,0,0,0,1,0,0,0,0
196910,97.24 ,3.15330 ,5.85330 ,0.60877 ,0.07000 ,0.07330 ,0.08220 ,0.06530 ,0.04863 ,0.00600 ,0.00539 ,0.03650 ,0.01270 ,0.00075 ,0.00184 ,0.04690 ,0.04466 ,0,0,0,0,0,0,1,1,1,0,0,0
